"pair_id","Description","Direction","Origin","Destination","Distance"
5558,"I-93 NB before Rt. 16 in Medford (u488) <0B> to I-93 SB before Fallon Rd. in Stoneham (u493) <1A>","NB","I-93 NB before Rt. 16 in Medford (u488) <0B>","I-93 SB before Fallon Rd. in Stoneham (u493) <1A>",4.3
5559,"I-93 SB before Fallon Rd. in Stoneham (u493) <1A> to I-93 SB before Rt. 16 in Medford (u498) <1F>","SB","I-93 SB before Fallon Rd. in Stoneham (u493) <1A>","I-93 SB before Rt. 16 in Medford (u498) <1F>",4.1
5560,"I-93 SB before Fallon Rd. in Stoneham (u493) <1A> to I-93 SB before I-95 in Woburn (u495) <1C>","NB","I-93 SB before Fallon Rd. in Stoneham (u493) <1A>","I-93 SB before I-95 in Woburn (u495) <1C>",3
5561,"I-93 SB before I-95 in Woburn (u495) <1C> to I-93 SB before Fallon Rd. in Stoneham (u493) <1A>","SB","I-93 SB before I-95 in Woburn (u495) <1C>","I-93 SB before Fallon Rd. in Stoneham (u493) <1A>",3
5562,"I-93 SB before Fallon Rd. in Stoneham (u493) <1A> to I-95 NB after Winn St. in Burlington (u509) <1B>","WB","I-93 SB before Fallon Rd. in Stoneham (u493) <1A>","I-95 NB after Winn St. in Burlington (u509) <1B>",5.3
5563,"I-95 NB after Winn St. in Burlington (u509) <1B> to I-93 SB before Fallon Rd. in Stoneham (u493) <1A>","EB","I-95 NB after Winn St. in Burlington (u509) <1B>","I-93 SB before Fallon Rd. in Stoneham (u493) <1A>",4.9
5564,"I-93 SB before Fallon Rd. in Stoneham (u493) <1A> to I-95 SB before Rt. 28 in Wakefield (u497) <1E>","EB","I-93 SB before Fallon Rd. in Stoneham (u493) <1A>","I-95 SB before Rt. 28 in Wakefield (u497) <1E>",3.6
5565,"I-95 SB before Rt. 28 in Wakefield (u497) <1E> to I-93 SB before Fallon Rd. in Stoneham (u493) <1A>","WB","I-95 SB before Rt. 28 in Wakefield (u497) <1E>","I-93 SB before Fallon Rd. in Stoneham (u493) <1A>",4.1
5566,"I-95 NB after Winn St. in Burlington (u509) <1B> to I-93 SB before I-95 in Woburn (u495) <1C>","NB","I-95 NB after Winn St. in Burlington (u509) <1B>","I-93 SB before I-95 in Woburn (u495) <1C>",4
5567,"I-93 SB before I-95 in Woburn (u495) <1C> to I-95 NB after Winn St. in Burlington (u509) <1B>","SB","I-93 SB before I-95 in Woburn (u495) <1C>","I-95 NB after Winn St. in Burlington (u509) <1B>",3.3
5568,"I-95 NB after Winn St. in Burlington (u509) <1B> to I-95 SB before Rt. 28 in Wakefield (u497) <1E>","EB","I-95 NB after Winn St. in Burlington (u509) <1B>","I-95 SB before Rt. 28 in Wakefield (u497) <1E>",4.4
5569,"I-95 SB before Rt. 28 in Wakefield (u497) <1E> to I-95 NB after Winn St. in Burlington (u509) <1B>","WB","I-95 SB before Rt. 28 in Wakefield (u497) <1E>","I-95 NB after Winn St. in Burlington (u509) <1B>",4.3
5570,"I-95 SB before Rt. 28 in Wakefield (u497) <1E> to I-93 SB before I-95 in Woburn (u495) <1C>","NB","I-95 SB before Rt. 28 in Wakefield (u497) <1E>","I-93 SB before I-95 in Woburn (u495) <1C>",2.4
5571,"I-93 SB before I-95 in Woburn (u495) <1C> to I-95 SB before Rt. 28 in Wakefield (u497) <1E>","SB","I-93 SB before I-95 in Woburn (u495) <1C>","I-95 SB before Rt. 28 in Wakefield (u497) <1E>",2.8
5572,"I-93 SB before I-95 in Woburn (u495) <1C> to I-93 SB before Rt. 62 in Wilmington (u496) <1D>","NB","I-93 SB before I-95 in Woburn (u495) <1C>","I-93 SB before Rt. 62 in Wilmington (u496) <1D>",4.8
5573,"I-93 SB before Rt. 62 in Wilmington (u496) <1D> to I-93 SB before I-95 in Woburn (u495) <1C>","SB","I-93 SB before Rt. 62 in Wilmington (u496) <1D>","I-93 SB before I-95 in Woburn (u495) <1C>",4.8
5574,"I-93 SB before Rt. 62 in Wilmington (u496) <1D> to I-93 SB before I-495 in Andover (u507) <3C>","NB","I-93 SB before Rt. 62 in Wilmington (u496) <1D>","I-93 SB before I-495 in Andover (u507) <3C>",7.6
5575,"I-93 SB before I-495 in Andover (u507) <3C> to I-93 SB before Rt. 62 in Wilmington (u496) <1D>","SB","I-93 SB before I-495 in Andover (u507) <3C>","I-93 SB before Rt. 62 in Wilmington (u496) <1D>",7.6
5577,"I-495 NB before I-93 in Andover (u505) <3A> to I-93 SB before Rt. 62 in Wilmington (u496) <1D>","SB","I-495 NB before I-93 in Andover (u505) <3A>","I-93 SB before Rt. 62 in Wilmington (u496) <1D>",7.3
5578,"I-93 SB before Rt. 62 in Wilmington (u496) <1D> to I-495 SB before I-93 in Andover (u506) <3B>","NB","I-93 SB before Rt. 62 in Wilmington (u496) <1D>","I-495 SB before I-93 in Andover (u506) <3B>",7.8
5579,"I-495 SB before I-93 in Andover (u506) <3B> to I-93 SB before Rt. 62 in Wilmington (u496) <1D>","SB","I-495 SB before I-93 in Andover (u506) <3B>","I-93 SB before Rt. 62 in Wilmington (u496) <1D>",8.3
5580,"I-495 NB before I-93 in Andover (u505) <3A> to I-93 SB before I-495 in Andover (u507) <3C>","NB","I-495 NB before I-93 in Andover (u505) <3A>","I-93 SB before I-495 in Andover (u507) <3C>",2.9
5581,"I-93 SB before Rt. 62 in Wilmington (u496) <1D> to I-93 SB before I-95 in Woburn (u495) <1C>","NB","I-93 SB before Rt. 62 in Wilmington (u496) <1D>","I-93 SB before I-95 in Woburn (u495) <1C>",2.9
5583,"I-495 NB before I-93 in Andover (u505) <3A> to I-495 SB before I-93 in Andover (u506) <3B>","EB","I-495 NB before I-93 in Andover (u505) <3A>","I-495 SB before I-93 in Andover (u506) <3B>",2.8
5584,"I-495 SB before I-93 in Andover (u506) <3B> to I-495 NB before I-93 in Andover (u505) <3A>","WB","I-495 SB before I-93 in Andover (u506) <3B>","I-495 NB before I-93 in Andover (u505) <3A>",2.8
5587,"I-93 SB before I-495 in Andover (u507) <3C> to I-93 SB after Pelham St. in Methuen (u508) <3D>","NB","I-93 SB before I-495 in Andover (u507) <3C>","I-93 SB after Pelham St. in Methuen (u508) <3D>",2.7
5588,"I-93 SB after Pelham St. in Methuen (u508) <3D> to I-93 SB before I-495 in Andover (u507) <3C>","SB","I-93 SB after Pelham St. in Methuen (u508) <3D>","I-93 SB before I-495 in Andover (u507) <3C>",2.7
8026,"3S - I-93 SB before Rt. 62 in Wilmington (u494) <1D> to I-93 SB before I-95 in Woburn (u495) <1C>","S","3S - I-93 SB before Rt. 62 in Wilming"," (u494) <1D> to I-93 SB before I-95 in Woburn (u495) <1C>",4.8
8027,"I-93 SB before I-95 in Woburn (u495) <1C> to I-93 SB before Rt. 62 in Wilmington (u494) <1D>","N","I-93 SB before I-95 in Woburn (u495) <1C> ","I-93 SB before Rt. 62 in Wilmington (u494) <1D>",4.8
8028,"I-93 SB before Rt. 62 in Wilmington (u494) <1D> to I-93 SB before I-495 in Andover (u507) <3C>","N","I-93 SB before Rt. 62 in Wilming"," (u494) <1D> to I-93 SB before I-495 in Andover (u507) <3C>",7.6
8029,"I-93 SB before I-495 in Andover (u507) <3C> to I-93 SB before Rt. 62 in Wilmington (u494) <1D>","S","I-93 SB before I-495 in Andover (u507) <3C> ","I-93 SB before Rt. 62 in Wilmington (u494) <1D>",7.6
9500,"I-93 NB after Blue Hill River Rd (u254) to I-95 NB after Neponset St. in Norwood (u503) <2E> ","EB","I-93 NB after Blue Hill River Rd (u254)","I-95 NB after Neponset St. in Norwood (u503) <2E>",5
9501,"I-95 NB after Neponset St. in Norwood (u503) <2E> to I-93 NB after Blue Hill River Rd (u254) ","WB","I-95 NB after Neponset St. in Norwood (u503) <2E>","I-93 NB after Blue Hill River Rd (u254)",4.7
9502,"I-93 NB after Blue Hill River Rd (u254) to I-95 SB before University Ave. in Westwood (u504) <2F> ","WB","I-93 NB after Blue Hill River Rd (u254)","I-95 SB before University Ave. in Westwood (u504) <2F>",3.1
9503,"I-95 SB before University Ave. in Westwood (u504) <2F> to I-93 NB after Blue Hill River Rd (u254) ","EB","I-95 SB before University Ave. in Westwood (u504) <2F>","I-93 NB after Blue Hill River Rd (u254)",3.1
9504,"I-93 NB after Blue Hill River Rd (u254) to Rt. 24 NB before I-93 in Randolph (u502) <2D> ","SB","I-93 NB after Blue Hill River Rd (u254)","Rt. 24 NB before I-93 in Randolph (u502) <2D>",1.6
9505,"Rt. 24 NB before I-93 in Randolph (u502) <2D> to I-93 NB after Blue Hill River Rd (u254) ","NB","Rt. 24 NB before I-93 in Randolph (u502) <2D>","I-93 NB after Blue Hill River Rd (u254)",1.7
9506,"I-93 NB after Blue Hill River Rd (u254) to I-93 NB before Granite St. in Braintree (u501) <2C>","EB","I-93 NB after Blue Hill River Rd (u254)","I-93 NB before Granite St. in Braintree (u501) <2C>",3.5
9507,"I-93 NB before Granite St. in Braintree (u501) <2C> to I-93 NB after Blue Hill River Rd (u254)","WB","I-93 NB before Granite St. in Braintree (u501) <2C>","I-93 NB after Blue Hill River Rd (u254)",3.5
9646,"I-93 & Hwy 3 (u568) to I-93 NB after Granite Ave. in Milton (u500) <2B> ","NB","I-93 NB after Blue Hill River Rd (u254)","I-93 NB after Granite Ave. in Milton (u500) <2B>",3.3
